file,size,struct-pattern,date-pattern,depta
ann_18-1.html,500,0.046875,0.4375,0.053975100000002385
ann_18-10.html,456,0.046875,0.390625,0.06723840000000791
ann_18-11.html,189,0.0,0.171875,0.01830110000000218
ann_18-12.html,197,0.015625,0.171875,0.015238699999997607
ann_18-13.html,184,0.015625,0.15625,0.015264899999991144
ann_18-14.html,228,0.015625,0.1875,0.03674780000000055
ann_18-15.html,211,0.015625,0.171875,0.026867299999992156
ann_18-16.html,274,0.015625,0.25,0.04045250000000067
ann_18-17.html,184,0.0,0.140625,0.014913999999990324
ann_18-18.html,207,0.015625,0.25,0.032654900000011367
ann_18-19.html,243,0.015625,0.25,0.041575899999998
ann_18-2.html,200,0.015625,0.1875,0.014008599999996818
ann_18-20.html,290,0.03125,0.28125,0.05030310000000782
ann_18-3.html,170,0.0,0.171875,0.015186299999996322
ann_18-4.html,322,0.03125,0.34375,0.05860649999999623
ann_18-5.html,212,0.015625,0.203125,0.022429099999996538
ann_18-6.html,211,0.015625,0.203125,0.02288120000000049
ann_18-7.html,225,0.015625,0.21875,0.019794799999999668
ann_18-8.html,224,0.015625,0.21875,0.01440700000000561
ann_18-9.html,213,0.015625,0.21875,0.020550999999997543
ann_19-1.html,536,0.046875,0.421875,0.04186980000000062
ann_19-10.html,617,0.0625,0.421875,0.04852150000000677
ann_19-11.html,634,0.0625,0.5,0.05951839999998754
ann_19-12.html,989,0.09375,0.578125,0.08607600000000559
ann_19-13.html,1124,0.125,0.5625,0.11836989999999048
ann_19-14.html,909,0.09375,0.5625,0.07181190000000015
ann_19-15.html,951,0.171875,0.65625,0.07758420000000399
ann_19-16.html,584,0.0625,0.46875,0.04541009999999801
ann_19-17.html,914,0.09375,0.640625,0.06597589999999798
ann_19-18.html,1057,0.125,0.703125,0.13120530000000485
ann_19-19.html,951,0.15625,0.625,0.08112669999999866
ann_19-2.html,916,0.109375,0.640625,0.12423400000000129
ann_19-20.html,1049,0.140625,0.640625,0.09534650000000511
ann_19-3.html,1122,0.1875,0.84375,0.1179401999999925
ann_19-4.html,897,0.109375,0.59375,0.0835084000000137
ann_19-5.html,813,0.078125,0.5,0.05674170000000345
ann_19-6.html,616,0.078125,0.421875,0.051396999999994364
ann_19-7.html,758,0.09375,0.515625,0.050532500000002756
